Dataset,LM_model,LM_output_type,Feature,Classifier,Precision,Recall,F1_score
EBG obfuscated,GPT-2 117M,probs,Bins 0.005,GNB,0.9166666666666666,0.7021276595744681,0.7951807228915662
EBG obfuscated,GPT-2 117M,probs,Bins 0.001,GNB,0.9655172413793104,0.5957446808510638,0.7368421052631579
EBG obfuscated,GPT-2 117M,probs,VGG19,GNB,0.8205128205128205,0.6808510638297872,0.7441860465116279
EBG obfuscated,GPT-2 117M,probs,Bins 0.010,GNB,0.8947368421052632,0.7234042553191491,0.8
EBG obfuscated,GPT-2 117M,probs,Bins 0.005,KNN,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 117M,probs,Bins 0.001,KNN,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 117M,probs,VGG19,KNN,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 117M,probs,Bins 0.010,KNN,1.0,0.7446808510638298,0.8536585365853657
EBG obfuscated,GPT-2 117M,probs,Bins 0.005,ANN,0.9705882352941176,0.7021276595744681,0.8148148148148149
EBG obfuscated,GPT-2 117M,probs,Bins 0.001,ANN,0.9444444444444444,0.7234042553191491,0.8192771084337349
EBG obfuscated,GPT-2 117M,probs,VGG19,ANN,0.9210526315789472,0.7446808510638298,0.8235294117647057
EBG obfuscated,GPT-2 117M,probs,Bins 0.010,ANN,0.875,0.7446808510638298,0.8045977011494252
EBG obfuscated,GPT-2 117M,probs,Bins 0.005,SVM,1.0,0.4893617021276596,0.6571428571428571
EBG obfuscated,GPT-2 117M,probs,Bins 0.001,SVM,1.0,0.44680851063829785,0.6176470588235294
EBG obfuscated,GPT-2 117M,probs,VGG19,SVM,0.8536585365853658,0.7446808510638298,0.7954545454545454
EBG obfuscated,GPT-2 117M,probs,Bins 0.010,SVM,1.0,0.5319148936170213,0.6944444444444444
EBG obfuscated,GPT-2 117M,probs,Bins 0.005,RFC,1.0,0.4893617021276596,0.6571428571428571
EBG obfuscated,GPT-2 117M,probs,Bins 0.001,RFC,1.0,0.2978723404255319,0.459016393442623
EBG obfuscated,GPT-2 117M,probs,VGG19,RFC,1.0,0.7234042553191491,0.8395061728395062
EBG obfuscated,GPT-2 117M,probs,Bins 0.010,RFC,1.0,0.5531914893617021,0.7123287671232876
EBG obfuscated,GPT-2 117M,ranks,Bins 50,GNB,0.2537313432835821,0.7234042553191491,0.37569060773480667
EBG obfuscated,GPT-2 117M,ranks,Bins 10,GNB,0.2641509433962264,0.5957446808510638,0.3660130718954249
EBG obfuscated,GPT-2 117M,ranks,VGG19,GNB,0.8888888888888888,0.6808510638297872,0.7710843373493975
EBG obfuscated,GPT-2 117M,ranks,Bins 100,GNB,0.2536231884057971,0.7446808510638298,0.3783783783783784
EBG obfuscated,GPT-2 117M,ranks,Bins 50,KNN,1.0,0.6808510638297872,0.810126582278481
EBG obfuscated,GPT-2 117M,ranks,Bins 10,KNN,1.0,0.7234042553191491,0.8395061728395062
EBG obfuscated,GPT-2 117M,ranks,VGG19,KNN,0.8888888888888888,0.6808510638297872,0.7710843373493975
EBG obfuscated,GPT-2 117M,ranks,Bins 100,KNN,1.0,0.6382978723404256,0.7792207792207793
EBG obfuscated,GPT-2 117M,ranks,Bins 50,ANN,0.9411764705882352,0.6808510638297872,0.7901234567901235
EBG obfuscated,GPT-2 117M,ranks,Bins 10,ANN,1.0,0.7234042553191491,0.8395061728395062
EBG obfuscated,GPT-2 117M,ranks,VGG19,ANN,0.9142857142857144,0.6808510638297872,0.7804878048780487
EBG obfuscated,GPT-2 117M,ranks,Bins 100,ANN,1.0,0.5957446808510638,0.7466666666666666
EBG obfuscated,GPT-2 117M,ranks,Bins 50,SVM,1.0,0.3829787234042553,0.5538461538461539
EBG obfuscated,GPT-2 117M,ranks,Bins 10,SVM,1.0,0.4893617021276596,0.6571428571428571
EBG obfuscated,GPT-2 117M,ranks,VGG19,SVM,0.9642857142857144,0.5744680851063829,0.7200000000000001
EBG obfuscated,GPT-2 117M,ranks,Bins 100,SVM,1.0,0.3829787234042553,0.5538461538461539
EBG obfuscated,GPT-2 117M,ranks,Bins 50,RFC,1.0,0.3617021276595745,0.53125
EBG obfuscated,GPT-2 117M,ranks,Bins 10,RFC,1.0,0.2553191489361702,0.4067796610169491
EBG obfuscated,GPT-2 117M,ranks,VGG19,RFC,0.96875,0.6595744680851063,0.7848101265822784
EBG obfuscated,GPT-2 117M,ranks,Bins 100,RFC,1.0,0.40425531914893614,0.5757575757575757
